,DATE,DATE_GROUP,SoundLevel(dB)
0,02-10-2023,Date_group1,69.8
1,02-10-2023,Date_group1,84.4
2,03-10-2023,Date_group1,82.5
3,03-10-2023,Date_group1,80
4,04-10-2023,Date_group1,76.2
5,04-10-2023,Date_group1,76.6
6,05-10-2023,Date_group1,79
7,05-10-2023,Date_group1,84.7
8,06-10-2023,Date_group1,83.1
9,06-10-2023,Date_group1,89.1
10,07-10-2023,Date_group1,84.4
11,07-10-2023,Date_group1,49
12,08-10-2023,Date_group1,73.5
13,08-10-2023,Date_group1,80.9
14,09-10-2023,Date_group1,73.8
15,09-10-2023,Date_group1,46.7
16,10-10-2023,Date_group1,85.6
17,10-10-2023,Date_group1,87.7
18,11-10-2023,Date_group1,82.2
19,11-10-2023,Date_group1,48.3
20,12-10-2023,Date_group1,68.6
21,12-10-2023,Date_group1,74.1
22,13-10-2023,Date_group1,80.4
23,13-10-2023,Date_group1,74
24,14-10-2023,Date_group1,73.7
25,14-10-2023,Date_group1,67.3
26,15-10-2023,Date_group1,65.8
27,15-10-2023,Date_group1,45.1
28,16-10-2023,Date_group2,65.2
29,16-10-2023,Date_group2,68.5
30,17-10-2023,Date_group2,71.7
31,17-10-2023,Date_group2,66.7
32,18-10-2023,Date_group2,72.3
33,18-10-2023,Date_group2,73
34,19-10-2023,Date_group2,68.3
35,19-10-2023,Date_group2,52.6
36,20-10-2023,Date_group2,75.9
37,20-10-2023,Date_group2,51.7
38,21-10-2023,Date_group2,63
39,21-10-2023,Date_group2,68.1
40,22-10-2023,Date_group2,65.5
41,22-10-2023,Date_group2,53.6
42,23-10-2023,Date_group2,57.4
43,23-10-2023,Date_group2,46.4
44,24-10-2023,Date_group2,55.3
45,24-10-2023,Date_group2,45.7
46,25-10-2023,Date_group2,58.7
47,25-10-2023,Date_group2,45.9
48,26-10-2023,Date_group2,57.7
49,26-10-2023,Date_group2,47.9
50,27-10-2023,Date_group2,56.5
51,27-10-2023,Date_group2,44.6
52,28-10-2023,Date_group2,59.6
53,28-10-2023,Date_group2,62.5
54,29-10-2023,Date_group2,55.2
55,29-10-2023,Date_group2,47.3
56,30-10-2023,Date_group2,57.5
57,30-10-2023,Date_group2,46.3
58,31-10-2023,Date_group2,61
59,31-10-2023,Date_group2,47.5
60,01-11-2023,Date_group3,71.8
61,01-11-2023,Date_group3,76.8
62,02-11-2023,Date_group3,73.3
63,02-11-2023,Date_group3,59.6
64,03-11-2023,Date_group3,71.3
65,03-11-2023,Date_group3,58.3
66,04-11-2023,Date_group3,71.3
67,04-11-2023,Date_group3,61.3
68,05-11-2023,Date_group3,76.3
69,05-11-2023,Date_group3,86.2
70,06-11-2023,Date_group3,84.6
71,06-11-2023,Date_group3,82.7
72,07-11-2023,Date_group3,79
73,07-11-2023,Date_group3,73.4
74,08-11-2023,Date_group3,72.5
75,08-11-2023,Date_group3,75.3
76,09-11-2023,Date_group3,75.8
77,09-11-2023,Date_group3,63.6
78,10-11-2023,Date_group3,64.7
79,10-11-2023,Date_group3,61.8
80,11-11-2023,Date_group3,60.9
81,11-11-2023,Date_group3,50.3
82,12-11-2023,Date_group3,60.6
83,12-11-2023,Date_group3,80.9
84,13-11-2023,Date_group3,81.5
85,13-11-2023,Date_group3,62.4
86,14-11-2023,Date_group3,70.2
87,14-11-2023,Date_group3,77.4
88,15-11-2023,Date_group4,79.2
89,15-11-2023,Date_group4,46.4
90,16-11-2023,Date_group4,65.3
91,16-11-2023,Date_group4,66.3
92,17-11-2023,Date_group4,63.5
93,17-11-2023,Date_group4,57
94,18-11-2023,Date_group4,70.2
95,18-11-2023,Date_group4,76.4
96,19-11-2023,Date_group4,78.6
97,19-11-2023,Date_group4,70.2
98,20-11-2023,Date_group4,82
99,20-11-2023,Date_group4,78.7
100,21-11-2023,Date_group4,72.4
101,21-11-2023,Date_group4,82.2
102,22-11-2023,Date_group4,81.1
103,22-11-2023,Date_group4,85.3
104,23-11-2023,Date_group4,85.2
105,23-11-2023,Date_group4,55.2
106,24-11-2023,Date_group4,61.3
107,24-11-2023,Date_group4,46.8
108,25-11-2023,Date_group4,56.2
109,25-11-2023,Date_group4,45.7
110,26-11-2023,Date_group4,58.4
111,26-11-2023,Date_group4,60.2
112,27-11-2023,Date_group4,62.9
113,27-11-2023,Date_group4,52.2
