DATE,DATE_GROUP,SoundLevel(dB)
2023-10-02,Date_group1,60.6
2023-10-02,Date_group1,59.3
2023-10-03,Date_group1,61.2
2023-10-03,Date_group1,60.7
2023-10-04,Date_group1,61.1
2023-10-04,Date_group1,58.4
2023-10-05,Date_group1,61.8
2023-10-05,Date_group1,57.3
2023-10-06,Date_group1,60.3
2023-10-06,Date_group1,57.7
2023-10-07,Date_group1,59.9
2023-10-07,Date_group1,56.7
2023-10-08,Date_group1,60.3
2023-10-08,Date_group1,56.5
2023-10-09,Date_group1,60.0
2023-10-09,Date_group1,58.7
2023-10-10,Date_group1,60.3
2023-10-10,Date_group1,57.8
2023-10-11,Date_group1,61.4
2023-10-11,Date_group1,59.7
2023-10-12,Date_group1,60.5
2023-10-12,Date_group1,58.0
2023-10-13,Date_group1,62.1
2023-10-13,Date_group1,58.5
2023-10-14,Date_group1,61.4
2023-10-14,Date_group1,57.8
2023-10-15,Date_group1,58.8
2023-10-15,Date_group1,60.7
2023-10-16,Date_group2,60.9
2023-10-16,Date_group2,57.2
2023-10-17,Date_group2,61.6
2023-10-17,Date_group2,59.4
2023-10-18,Date_group2,62.7
2023-10-18,Date_group2,61.3
2023-10-19,Date_group2,64.1
2023-10-19,Date_group2,61.0
2023-10-20,Date_group2,65.4
2023-10-20,Date_group2,60.9
2023-10-21,Date_group2,61.6
2023-10-21,Date_group2,58.1
2023-10-22,Date_group2,59.3
2023-10-22,Date_group2,58.1
2023-10-23,Date_group2,62.3
2023-10-23,Date_group2,58.6
2023-10-24,Date_group2,61.3
2023-10-24,Date_group2,58.4
2023-10-25,Date_group2,61.6
2023-10-25,Date_group2,62.5
2023-10-26,Date_group2,63.2
2023-10-26,Date_group2,60.6
2023-10-27,Date_group2,64.2
2023-10-27,Date_group2,59.1
2023-10-28,Date_group2,60.7
2023-10-28,Date_group2,58.1
2023-10-29,Date_group2,60.4
2023-10-29,Date_group2,58.3
2023-10-30,Date_group2,60.0
2023-10-30,Date_group2,58.3
2023-10-31,Date_group2,66.1
2023-10-31,Date_group2,60.9
2023-11-01,Date_group3,62.0
2023-11-01,Date_group3,62.4
2023-11-02,Date_group3,62.4
2023-11-02,Date_group3,59.0
2023-11-03,Date_group3,62.1
2023-11-03,Date_group3,60.4
2023-11-04,Date_group3,61.7
2023-11-04,Date_group3,58.0
2023-11-05,Date_group3,60.1
2023-11-05,Date_group3,57.6
2023-11-06,Date_group3,61.1
2023-11-06,Date_group3,57.6
2023-11-07,Date_group3,60.5
2023-11-07,Date_group3,62.4
2023-11-08,Date_group3,62.6
2023-11-08,Date_group3,58.6
2023-11-09,Date_group3,62.7
2023-11-09,Date_group3,59.0
2023-11-10,Date_group3,62.6
2023-11-10,Date_group3,58.9
2023-11-11,Date_group3,60.8
2023-11-11,Date_group3,59.3
2023-11-12,Date_group3,59.7
2023-11-12,Date_group3,62.0
2023-11-13,Date_group3,63.5
2023-11-13,Date_group3,58.5
2023-11-14,Date_group3,60.9
2023-11-14,Date_group3,58.5
2023-11-15,Date_group4,61.0
2023-11-15,Date_group4,58.9
2023-11-16,Date_group4,60.8
2023-11-16,Date_group4,58.7
2023-11-17,Date_group4,62.1
2023-11-17,Date_group4,59.5
2023-11-18,Date_group4,60.3
2023-11-18,Date_group4,57.8
2023-11-19,Date_group4,61.8
2023-11-19,Date_group4,57.6
2023-11-20,Date_group4,61.2
2023-11-20,Date_group4,59.9
2023-11-21,Date_group4,62.1
2023-11-21,Date_group4,66.5
2023-11-22,Date_group4,66.1
2023-11-22,Date_group4,57.9
2023-11-23,Date_group4,65.7
2023-11-23,Date_group4,59.9
2023-11-24,Date_group4,64.0
2023-11-24,Date_group4,58.1
2023-11-25,Date_group4,60.8
2023-11-25,Date_group4,57.4
2023-11-26,Date_group4,61.2
2023-11-26,Date_group4,62.2
2023-11-27,Date_group4,62.2
2023-11-27,Date_group4,57.7
2023-11-28,Date_group4,60.6
