DATE,DATE_GROUP,SoundLevel(dB)
2023-10-02,Date_group1,47.6
2023-10-02,Date_group1,43.3
2023-10-03,Date_group1,51.1
2023-10-03,Date_group1,46.1
2023-10-04,Date_group1,50.7
2023-10-04,Date_group1,46.6
2023-10-05,Date_group1,52.3
2023-10-05,Date_group1,52.2
2023-10-06,Date_group1,52.2
2023-10-06,Date_group1,46.9
2023-10-07,Date_group1,47.7
2023-10-07,Date_group1,42.1
2023-10-08,Date_group1,44.9
2023-10-08,Date_group1,40.5
2023-10-09,Date_group1,47.8
2023-10-09,Date_group1,42.6
2023-10-10,Date_group1,49.0
2023-10-10,Date_group1,47.6
2023-10-11,Date_group1,48.5
2023-10-11,Date_group1,42.1
2023-10-12,Date_group1,49.4
2023-10-12,Date_group1,40.9
2023-10-13,Date_group1,48.2
2023-10-13,Date_group1,42.5
2023-10-14,Date_group1,47.8
2023-10-14,Date_group1,41.9
2023-10-15,Date_group1,43.5
2023-10-15,Date_group1,42.9
2023-10-16,Date_group2,49.2
2023-10-16,Date_group2,44.3
2023-10-17,Date_group2,50.7
2023-10-17,Date_group2,46.9
2023-10-18,Date_group2,51.1
2023-10-18,Date_group2,47.7
2023-10-19,Date_group2,50.5
2023-10-19,Date_group2,43.1
2023-10-20,Date_group2,54.7
2023-10-20,Date_group2,45.5
2023-10-21,Date_group2,47.9
2023-10-21,Date_group2,43.0
2023-10-22,Date_group2,46.2
2023-10-22,Date_group2,43.8
2023-10-23,Date_group2,50.7
2023-10-23,Date_group2,45.8
2023-10-24,Date_group2,49.9
2023-10-24,Date_group2,43.9
2023-10-25,Date_group2,48.2
2023-10-25,Date_group2,44.5
2023-10-26,Date_group2,49.9
2023-10-26,Date_group2,44.6
2023-10-27,Date_group2,49.9
2023-10-27,Date_group2,43.9
2023-10-28,Date_group2,50.5
2023-10-28,Date_group2,47.5
2023-10-29,Date_group2,47.5
2023-10-29,Date_group2,43.9
2023-10-30,Date_group2,46.3
2023-10-30,Date_group2,43.9
2023-10-31,Date_group2,53.2
2023-10-31,Date_group2,46.6
2023-11-01,Date_group3,54.6
2023-11-01,Date_group3,42.2
2023-11-02,Date_group3,48.7
2023-11-02,Date_group3,41.4
2023-11-03,Date_group3,48.2
2023-11-03,Date_group3,47.1
2023-11-04,Date_group3,48.6
2023-11-04,Date_group3,43.4
2023-11-05,Date_group3,46.8
2023-11-05,Date_group3,47.7
2023-11-06,Date_group3,50.6
2023-11-06,Date_group3,46.5
2023-11-07,Date_group3,48.5
2023-11-07,Date_group3,46.7
2023-11-08,Date_group3,49.1
2023-11-08,Date_group3,45.2
2023-11-09,Date_group3,51.4
2023-11-09,Date_group3,44.1
2023-11-10,Date_group3,49.8
2023-11-10,Date_group3,42.8
2023-11-11,Date_group3,50.0
2023-11-11,Date_group3,48.3
2023-11-12,Date_group3,48.9
2023-11-12,Date_group3,56.0
2023-11-13,Date_group3,60.4
2023-11-13,Date_group3,43.5
2023-11-14,Date_group3,51.2
2023-11-14,Date_group3,47.1
2023-11-15,Date_group4,50.6
2023-11-15,Date_group4,43.4
2023-11-16,Date_group4,49.6
2023-11-16,Date_group4,45.2
2023-11-17,Date_group4,49.9
2023-11-17,Date_group4,46.6
2023-11-18,Date_group4,51.6
2023-11-18,Date_group4,48.1
2023-11-19,Date_group4,50.3
2023-11-19,Date_group4,41.7
2023-11-20,Date_group4,47.3
2023-11-20,Date_group4,41.7
2023-11-21,Date_group4,46.3
2023-11-21,Date_group4,47.3
2023-11-22,Date_group4,50.6
2023-11-22,Date_group4,50.0
2023-11-23,Date_group4,52.0
2023-11-23,Date_group4,41.9
2023-11-24,Date_group4,46.1
2023-11-24,Date_group4,42.4
2023-11-25,Date_group4,47.1
2023-11-25,Date_group4,44.4
2023-11-26,Date_group4,45.7
2023-11-26,Date_group4,46.4
2023-11-27,Date_group4,47.4
2023-11-27,Date_group4,44.2
2023-11-28,Date_group4,50.2
