DATE,DATE_GROUP,SoundLevel(dB)
2023-10-02,Date_group1,40.2
2023-10-02,Date_group1,35.3
2023-10-03,Date_group1,38.9
2023-10-03,Date_group1,34.6
2023-10-04,Date_group1,38.3
2023-10-04,Date_group1,35.2
2023-10-05,Date_group1,48.5
2023-10-05,Date_group1,37.1
2023-10-06,Date_group1,40.4
2023-10-06,Date_group1,34.9
2023-10-07,Date_group1,38.1
2023-10-07,Date_group1,35.3
2023-10-08,Date_group1,37.4
2023-10-08,Date_group1,33.8
2023-10-09,Date_group1,38.1
2023-10-09,Date_group1,37.2
2023-10-10,Date_group1,39.0
2023-10-10,Date_group1,35.2
2023-10-11,Date_group1,39.2
2023-10-11,Date_group1,35.7
2023-10-12,Date_group1,38.4
2023-10-12,Date_group1,34.1
2023-10-13,Date_group1,39.7
2023-10-13,Date_group1,34.2
2023-10-14,Date_group1,38.9
2023-10-14,Date_group1,33.5
2023-10-15,Date_group1,36.4
2023-10-15,Date_group1,35.3
2023-10-16,Date_group2,41.5
2023-10-16,Date_group2,39.9
2023-10-17,Date_group2,41.7
2023-10-17,Date_group2,43.2
2023-10-18,Date_group2,43.1
2023-10-18,Date_group2,40.5
2023-10-19,Date_group2,41.5
2023-10-19,Date_group2,37.3
2023-10-20,Date_group2,44.6
2023-10-20,Date_group2,38.2
2023-10-21,Date_group2,39.2
2023-10-21,Date_group2,35.7
2023-10-22,Date_group2,38.6
2023-10-22,Date_group2,38.6
2023-10-23,Date_group2,42.3
2023-10-23,Date_group2,39.2
2023-10-24,Date_group2,41.3
2023-10-24,Date_group2,38.5
2023-10-25,Date_group2,40.8
2023-10-25,Date_group2,38.3
2023-10-26,Date_group2,40.4
2023-10-26,Date_group2,39.3
2023-10-27,Date_group2,42.2
2023-10-27,Date_group2,36.9
2023-10-28,Date_group2,41.6
2023-10-28,Date_group2,40.2
2023-10-29,Date_group2,39.4
2023-10-29,Date_group2,37.4
2023-10-30,Date_group2,40.5
2023-10-30,Date_group2,35.8
2023-10-31,Date_group2,45.2
2023-10-31,Date_group2,40.4
2023-11-01,Date_group3,40.8
2023-11-01,Date_group3,36.4
2023-11-02,Date_group3,38.6
2023-11-02,Date_group3,35.9
2023-11-03,Date_group3,38.5
2023-11-03,Date_group3,43.2
2023-11-04,Date_group3,42.0
2023-11-04,Date_group3,35.3
2023-11-05,Date_group3,38.4
2023-11-05,Date_group3,35.9
2023-11-06,Date_group3,39.8
2023-11-06,Date_group3,36.1
2023-11-07,Date_group3,39.7
2023-11-07,Date_group3,37.6
2023-11-08,Date_group3,40.7
2023-11-08,Date_group3,37.0
2023-11-09,Date_group3,40.0
2023-11-09,Date_group3,37.3
2023-11-10,Date_group3,40.3
2023-11-10,Date_group3,36.3
2023-11-11,Date_group3,39.3
2023-11-11,Date_group3,40.3
2023-11-12,Date_group3,40.9
2023-11-12,Date_group3,44.5
2023-11-13,Date_group3,45.4
2023-11-13,Date_group3,37.0
2023-11-14,Date_group3,39.7
2023-11-14,Date_group3,35.7
2023-11-15,Date_group4,39.4
2023-11-15,Date_group4,37.8
2023-11-16,Date_group4,44.8
2023-11-16,Date_group4,36.9
2023-11-17,Date_group4,40.8
2023-11-17,Date_group4,38.0
2023-11-18,Date_group4,38.4
2023-11-18,Date_group4,36.0
2023-11-19,Date_group4,38.5
2023-11-19,Date_group4,36.0
2023-11-20,Date_group4,39.7
2023-11-20,Date_group4,36.1
2023-11-21,Date_group4,39.4
2023-11-21,Date_group4,35.5
2023-11-22,Date_group4,42.2
2023-11-22,Date_group4,36.8
2023-11-23,Date_group4,40.4
2023-11-23,Date_group4,38.1
2023-11-24,Date_group4,39.6
2023-11-24,Date_group4,35.3
2023-11-25,Date_group4,37.6
2023-11-25,Date_group4,37.4
2023-11-26,Date_group4,38.1
2023-11-26,Date_group4,35.3
2023-11-27,Date_group4,39.6
2023-11-27,Date_group4,35.9
2023-11-28,Date_group4,38.6
